"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS"
"03068","554","637","120","82","655","334","979","37","175"
"03069","579","621","127","91","669","313","1029","33","138"
"03070","661","676","133","125","766","313","1036","72","229"
"03071","639","689","146","148","775","259","1036","76","216"
"03072","696","765","157","124","884","296","1116","44","301"
"03073","774","820","163","123","960","348","1324","62","208"
"03074","842","965","198","141","1042","426","1452","78","277"
"03075","837","932","221","163","1031","354","1383","65","321"
"03076","509","590","118","81","617","283","847","46","206"
"03077","610","731","130","132","758","321","1073","66","202"
"03078","831","907","207","145","1072","314","1303","79","356"
"03079","846","966","202","183","1094","333","1306","92","414"
"03080","692","854","146","142","879","379","1262","51","233"
"03081","914","1044","200","194","1124","440","1501","75","382"
"03082","891","1035","199","185","1132","410","1511","89","326"
"03083","643","754","129","87","839","342","1156","62","179"
"03084","654","768","153","120","719","430","1237","47","138"
"03085","639","728","154","95","824","294","1097","65","205"
"03086","587","653","114","106","629","391","1102","55","83"
"03087","694","776","157","121","777","415","1228","44","198"
"03088","670","747","171","109","773","364","1154","86","177"
"03089","572","666","131","92","656","359","1093","56","89"
"03090","465","543","91","102","571","244","899","48","61"
"03091","732","769","163","153","929","256","1190","77","234"
"03092","570","655","140","101","753","231","992","82","151"
"03093","697","824","143","162","868","348","1333","47","141"
"03094","577","667","142","104","710","288","1064","60","120"
"03095","761","884","177","138","990","340","1289","109","247"
"03096","744","833","180","147","995","255","1173","104","300"
"03097","820","906","198","149","1166","213","1134","130","462"
"03098","712","735","168","150","895","234","1040","106","301"
"03099","441","527","121","78","594","175","790","56","122"
"03100","616","741","166","112","804","275","1009","108","240"
"03101","2529","1709","481","451","2889","417","1681","265","2292"
"03102","622","674","156","105","771","264","1004","60","232"
"03103","536","634","126","78","600","366","1027","37","106"
"03104","697","755","151","135","916","250","1075","116","261"
"03105","532","659","140","112","724","215","917","69","205"
"03106","597","676","150","106","813","204","959","122","192"
"03107","792","832","178","138","961","347","1279","71","274"
"03108","787","878","210","127","1013","315","1244","108","313"
"03109","763","798","178","135","987","261","1198","126","237"
"03110","700","807","169","118","912","308","1206","91","210"
"03111","596","705","177","86","776","262","1076","72","153"
"03112","873","982","208","151","1073","423","1558","82","215"
"03113","767","889","165","148","890","453","1323","86","247"
"03114","693","790","139","135","809","400","1245","93","145"
"03211","764","784","162","219","936","231","1315","18","215"
"03212","1158","1306","287","234","1290","653","1937","81","446"
"03213","1214","1272","320","303","1475","388","1816","72","598"
"04001","587","663","144","114","732","260","976","68","206"
"04002","921","1009","246","170","1034","480","1698","61","171"
"04003","508","551","121","79","562","297","925","31","103"
"04004","474","511","105","67","558","255","843","31","111"
"04005","553","667","144","96","653","327","1073","37","110"
"04006","502","600","129","91","569","313","968","34","100"
"04007","466","581","114","78","557","298","874","49","124"
"04008","456","524","104","70","551","255","829","23","128"
"04009","678","803","174","121","851","335","1238","67","176"
"04010","411","491","97","115","466","224","769","32","101"
"04011","812","915","233","133","832","529","1516","70","141"
"04012","651","754","126","117","742","420","1244","49","112"
"04013","570","654","133","103","650","338","1084","50","90"
"04014","385","457","91","78","425","248","735","24","83"
"04015","850","1030","193","154","1068","465","1658","65","157"
"04016","513","594","125","70","590","322","975","43","89"
"04017","563","665","167","74","631","356","1052","63","113"
"04018","696","840","180","167","784","405","1335","79","122"
"04019","644","713","177","149","685","346","1158","70","129"
"04020","691","801","211","157","755","369","1289","67","136"
"04021","600","705","158","135","663","349","1130","72","103"
"04022","766","840","160","143","885","418","1282","101","223"
"04023","479","551","129","125","482","294","892","40","98"
"04024","480","553","141","108","491","293","963","19","51"
"04025","530","642","162","96","669","245","1026","59","87"
"04026","543","675","148","85","631","354","1087","55","76"
"04027","615","714","175","113","765","276","1080","96","153"
"04028","628","714","174","100","690","378","1146","59","137"
"04029","510","617","140","76","553","358","1010","34","83"
"04030","834","1016","265","136","880","569","1634","81","135"
"04031","970","963","226","174","1113","420","1395","102","436"
"04032","697","839","179","115","819","423","1379","35","122"
"04033","534","624","140","91","616","311","1006","50","102"
"04034","715","763","159","116","690","513","1352","44","82"
"04035","625","751","169","97","697","413","1221","40","115"
"04036","774","944","233","145","893","447","1449","71","198"
"04037","956","1130","228","188","1080","590","1785","70","231"
"04038","589","676","132","100","654","379","1121","23","121"
"04039","561","632","144","101","703","245","994","47","152"
"04040","763","817","229","146","916","289","1232","71","277"
"04041","643","729","153","107","809","303","1076","53","243"
"04042","813","947","156","120","985","499","1439","59","262"
"04043","738","860","156","122","775","545","1480","36","82"
"04044","747","846","173","115","896","409","1393","54","146"
"04045","668","763","188","118","735","390","1205","65","161"
"04046","1166","1269","296","208","1159","772","2223","87","125"
"04047","870","994","237","180","968","479","1638","85","141"
"04048","694","794","154","130","782","422","1347","49","92"
"04049","533","614","167","145","567","268","976","67","104"
"04050","942","1048","320","182","903","585","1810","85","95"
"04051","726","913","238","188","814","399","1428","84","127"
"04052","985","1210","308","254","981","652","1893","125","177"
"04053","790","872","216","202","939","305","1176","151","335"
"04054","469","538","148","107","452","300","864","57","86"
"04055","728","774","254","202","683","363","1157","226","119"
"04056","829","930","269","243","863","384","1270","188","301"
"04084","625","734","183","124","625","427","1216","45","98"
"05001","890","885","304","205","1053","213","1465","199","111"
"05002","776","828","290","189","815","310","1373","163","68"
"05003","689","709","257","164","762","215","1199","124","75"
"05004","464","651","170","162","473","310","954","60","101"
"05005","620","633","190","216","594","253","919","148","186"
"05006","860","892","289","284","801","378","1448","186","118"
"05007","917","871","244","175","961","408","1427","145","216"
"05008","792","901","293","197","837","366","1475","114","104"
"05009","777","936","277","188","866","382","1474","130","109"
"05010","729","830","281","172","753","353","1354","118","87"
"05011","641","785","244","148","744","290","1248","90","88"
"05012","610","756","219","146","732","269","1196","83","87"
"05013","801","892","276","175","915","327","1480","125","88"
"05014","756","866","296","148","792","386","1362","151","109"
"05015","713","870","317","164","783","319","1373","119","91"
"05016","866","1024","373","205","961","351","1611","123","156"
"05017","723","852","267","190","766","352","1377","109","89"
"05018","564","681","191","146","604","304","1090","73","82"
"05019","782","924","308","195","814","389","1496","84","126"
"05020","539","628","147","134","633","253","1014","47","106"
"05021","611","697","226","184","637","261","1078","66","164"
"05022","771","985","292","185","816","463","1590","59","107"
"05023","685","822","247","148","779","333","1317","78","112"
"05024","896","1031","314","257","913","443","1703","116","108"
"05025","613","707","211","178","645","286","1157","47","116"
"05026","688","751","248","197","683","311","1323","62","54"
"05027","670","738","245","201","665","297","1286","68","54"
"05028","822","838","292","197","858","313","1462","87","111"
"05029","787","845","294","243","779","316","1504","68","60"
"05030","635","743","235","209","636","298","1296","32","50"
"05031","776","865","244","260","734","403","1435","101","105"
"05032","841","965","266","248","871","421","1437","149","220"
"05033","682","747","283","165","705","276","1209","97","123"
"05034","638","685","276","148","639","260","1038","70","215"
"05035","506","537","119","110","480","334","970","23","50"
"05036","820","922","290","238","818","396","1569","81","92"
"05037","639","819","229","197","701","331","1281","53","124"
"05038","620","746","163","141","754","308","1086","101","179"
"05039","718","814","265","179","693","395","1422","38","72"
"05040","640","784","217","144","782","281","1205","93","126"
"05041","947","1000","247","201","1148","351","1459","134","354"
"05042","600","687","159","126","703","299","1107","58","122"
"05043","654","793","197","153","817","280","1221","86","140"
"05044","583","739","216","120","723","263","1152","61","109"
"05045","724","913","273","219","813","332","1500","55","82"
"05046","502","648","152","131","503","364","1087","33","30"
"05047","563","693","224","143","630","259","1158","52","46"
"05048","557","694","181","155","642","273","1135","46","70"
"05049","742","918","243","222","822","373","1486","71","103"
"05050","754","872","221","184","873","348","1422","71","133"
"05051","737","862","236","237","774","352","1430","61","108"
"05052","635","802","219","195","699","324","1311","57","69"
"05053","694","790","186","221","724","353","1329","78","77"
"05054","461","586","135","142","516","254","907","62","78"
"05055","656","773","213","210","670","336","1278","54","97"
"05056","510","703","161","135","587","330","1022","71","120"
"05057","776","876","172","217","805","458","1429","66","157"
"05058","732","847","230","203","770","376","1303","114","162"
"05059","684","878","213","165","815","369","1329","103","130"
"05060","510","652","173","157","573","259","964","105","93"
"05061","641","837","151","120","891","316","1169","117","192"
"05062","712","930","223","205","855","359","1388","111","143"
"05063","709","877","241","153","848","344","1380","92","114"
"05064","700","910","205","173","884","348","1328","108","174"
"05065","773","919","237","181","914","360","1366","136","190"
"05066","601","737","161","169","692","316","1117","70","151"
"05067","571","698","171","135","644","319","1089","82","98"
"05068","685","821","214","139","835","318","1250","118","138"
"05069","823","946","273","179","990","327","1525","115","129"
"05070","643","808","188","153","790","320","1214","107","130"
"05071","719","927","217","167","920","342","1320","139","187"
"05072","770","976","251","190","904","401","1506","94","146"
"05073","726","891","201","155","900","361","1355","113","149"
"05074","785","908","231","206","853","403","1482","95","116"
"05075","817","1043","265","208","962","425","1586","135","139"
"05076","636","791","212","120","753","342","1235","91","101"
"05077","665","786","221","202","739","289","1297","70","84"
"05078","989","1132","347","285","1082","407","1887","106","128"
"05079","580","693","163","143","696","271","1089","79","105"
"05080","638","751","172","148","786","283","1153","118","118"
"05081","729","877","238","187","845","336","1337","105","164"
"05082","740","901","212","162","940","327","1373","126","142"
"05083","597","701","162","114","733","289","1106","95","97"
"05084","586","735","164","132","723","302","1091","113","117"
"05085","644","709","199","140","757","257","1098","114","141"
"05086","632","723","198","132","761","264","1119","112","124"
"05087","721","872","197","177","878","341","1347","87","159"
"05088","862","912","214","222","968","370","1487","98","189"
"05089","869","930","271","171","987","370","1497","136","166"
"05090","888","1024","244","177","1088","403","1532","197","183"
"05091","686","860","208","151","829","358","1318","121","107"
"05092","765","876","202","208","870","361","1435","80","126"
"05093","475","632","148","113","592","254","974","56","77"
"05094","1207","1515","411","326","1364","621","2381","157","184"
"05095","765","949","246","193","887","388","1442","100","172"
"05096","523","638","163","103","652","243","963","77","121"
"05097","772","869","279","156","886","320","1376","139","126"
"05098","708","886","189","152","890","363","1285","113","196"
"06001","534","718","151","107","698","296","962","121","169"
"06002","691","819","168","142","833","367","1189","105","216"
"06003","1120","1194","305","176","1353","480","1847","198","269"
"06004","711","740","174","125","825","327","1225","90","136"
"06006","490","540","141","110","544","235","913","57","60"
"06007","878","995","274","179","1087","333","1607","95","171"
"06008","889","1106","251","194","1079","471","1667","112","216"
"06009","611","699","204","142","681","283","1130","92","88"
"06010","507","566","130","99","558","286","891","58","124"
"06011","621","686","160","145","667","335","1173","63","71"
"06012","562","619","145","97","603","336","981","91","109"
"06013","839","964","204","172","1081","346","1422","138","243"
"06014","663","791","177","124","770","383","1217","90","147"
"06015","678","758","187","118","858","273","1161","69","206"
"06016","759","858","218","158","964","277","1266","95","256"
"06017","643","715","175","120","775","288","1137","95","126"
"06018","625","692","152","80","822","263","1010","170","137"
"06019","707","796","181","146","869","307","1216","115","172"
"06020","538","624","134","82","667","279","914","78","170"
"06021","643","751","204","125","720","345","1180","79","135"
"06022","709","685","153","194","736","311","1085","120","189"
"06023","593","706","160","98","622","419","1216","43","40"
"06024","775","955","229","136","909","456","1460","113","157"
"06025","636","765","181","122","712","386","1282","37","82"
"06026","476","556","107","77","566","282","863","67","102"
"06027","528","682","151","117","638","304","1022","71","117"
"06028","656","698","160","100","836","258","1061","121","172"
"06029","596","682","122","90","734","332","1030","115","133"
"06030","636","692","148","89","844","247","1026","155","147"
"06031","496","603","93","71","705","230","859","139","101"
"06032","511","642","148","73","687","245","965","93","95"
"06033","593","731","139","112","804","269","1068","144","112"
"06034","555","682","139","81","739","278","999","111","127"
"06035","486","579","105","93","606","261","875","94","96"
"06036","655","849","162","153","784","405","1220","112","172"
"06037","536","599","161","122","607","245","910","110","115"
"06038","646","838","172","132","874","306","1201","167","116"
"06039","733","863","168","105","1066","257","1153","247","196"
"06040","718","962","176","141","980","383","1302","191","187"
"06041","780","937","221","168","992","336","1359","183","175"
"06042","801","897","240","144","1015","299","1316","184","198"
"06043","588","675","162","130","740","231","905","177","181"
"06044","718","826","182","158","905","299","1132","176","236"
"06045","595","683","149","87","854","188","891","192","195"
"06046","539","607","125","92","734","195","832","168","146"
"06047","556","678","126","97","821","190","865","218","151"
"06048","641","750","140","118","916","217","930","215","246"
"06049","512","643","137","96","707","215","850","144","161"
"06050","613","703","148","84","873","211","930","197","189"
"06051","538","697","145","104","768","218","913","154","168"
"06052","673","827","159","124","926","291","1147","196","157"
"06053","690","820","183","109","928","290","1144","194","172"
"06054","784","824","202","106","1034","266","1190","209","209"
"06055","649","810","171","102","916","270","1135","152","172"
"06056","712","840","163","111","1067","211","1136","244","172"
"06057","668","863","157","103","1002","269","1121","202","208"
"06058","772","938","168","117","1144","281","1251","195","264"
"06059","698","808","159","121","912","314","1217","158","131"
"06060","829","942","187","151","1125","308","1363","213","195"
"06061","612","687","130","91","808","270","1039","120","140"
"06062","559","654","134","97","709","273","965","110","138"
"06063","685","805","176","128","915","271","1149","151","190"
"06064","869","1056","230","166","1090","439","1571","169","185"
"06065","543","625","138","97","639","294","996","82","90"
"06066","423","547","113","46","593","218","796","88","86"
"06067","799","980","179","134","1121","345","1371","196","212"
"06068","685","865","173","135","907","335","1247","149","154"
"06069","489","574","105","85","644","229","852","98","113"
"06070","807","1046","208","128","1107","410","1440","147","266"
"06071","510","583","95","119","625","254","889","72","132"
"06072","748","886","176","145","861","452","1409","93","132"
"06073","621","748","105","115","781","368","1160","75","134"
"06074","569","591","127","102","700","231","890","107","163"
"06075","515","571","111","82","547","346","960","47","79"
"06076","633","668","157","98","653","393","1121","62","118"
"06077","540","659","140","104","738","217","961","67","171"
"06078","613","699","140","101","835","236","1002","140","170"
"06079","496","639","133","94","646","262","925","106","104"
"06080","561","635","138","105","633","320","1018","65","113"
"06081","603","735","155","98","790","295","1094","104","140"
"06082","1300","1387","307","245","1702","433","1804","226","657"
"06083","842","905","192","127","961","467","1529","94","124"
"06084","683","835","181","119","892","326","1269","94","155"
"06085","557","695","147","119","658","328","1083","86","83"
"06086","470","524","120","64","539","271","890","52","52"
"06087","871","1026","215","131","894","657","1728","47","122"
"06088","551","695","149","104","665","328","1091","67","88"
"07001","715","881","163","123","767","543","1432","49","115"
"07002","518","636","112","82","650","310","1008","52","94"
"07003","601","718","184","111","749","275","1061","86","172"
"07004","710","819","159","134","892","344","1159","98","272"
"07005","705","772","173","98","882","324","1222","81","174"
"07006","452","515","83","72","529","283","846","45","76"
"07007","638","786","132","110","746","436","1171","79","174"
"07008","679","747","129","116","732","449","1256","53","117"
"07009","526","665","111","108","721","251","969","70","152"
"07010","649","719","152","120","819","277","1075","81","212"
"07011","548","617","105","99","692","269","863","106","196"
"07012","718","843","177","115","900","369","1269","118","174"
"07013","569","647","95","112","673","336","1076","38","102"
"07014","405","479","82","68","506","228","695","66","123"
"07015","696","757","167","124","807","355","1241","58","154"
"07016","669","698","163","136","742","326","1197","89","81"
"07017","790","949","212","158","995","374","1436","122","181"
"07018","770","950","247","130","970","373","1422","71","227"
"07019","713","803","162","129","861","364","1241","80","195"
"07020","810","933","229","162","1002","350","1338","118","287"
"07021","508","533","113","84","567","277","899","72","70"
"07022","547","613","136","105","648","271","1003","31","126"
"07023","660","664","159","122","802","241","1078","83","163"
"07024","685","791","161","133","854","328","1219","90","167"
"07025","683","764","173","112","881","281","1140","96","211"
"07026","511","602","118","74","605","316","927","78","108"
"07027","1013","1131","308","239","1183","414","1715","114","315"
"07028","715","761","179","147","910","240","1169","96","211"
"07029","626","673","128","105","710","356","1078","75","146"
"07030","628","776","180","109","792","323","1123","48","233"
"07031","763","843","202","150","940","314","1276","87","243"
"07032","711","756","173","144","842","308","1219","61","187"
"07033","686","785","173","130","832","336","1241","79","151"
"07034","875","975","276","168","1050","356","1593","83","174"
"07035","823","945","210","166","989","403","1527","91","150"
"07036","641","784","156","118","798","353","1233","57","135"
"07037","700","812","165","144","847","356","1246","70","196"
"07038","594","671","119","125","678","343","1066","63","136"
"07039","758","894","170","160","1019","303","1331","116","205"
"07040","666","823","178","121","878","312","1218","96","175"
"07041","641","721","157","105","828","272","1051","79","232"
"07042","676","834","185","102","889","334","1286","46","178"
"07043","667","763","172","134","816","308","1163","72","195"
"07044","611","700","125","108","725","353","1120","61","130"
"07045","792","838","221","136","916","357","1337","73","220"
"07046","662","765","175","98","745","409","1179","53","195"
"07047","718","770","158","124","884","322","1209","81","198"
"07048","604","726","153","129","741","307","1111","67","152"
"07049","585","649","131","101","678","324","1029","54","151"
"07050","568","650","147","102","747","222","961","77","180"
"07051","822","981","232","173","1041","357","1482","99","222"
"07052","613","648","184","101","623","353","1136","75","50"
"07053","682","792","183","129","801","361","1337","45","92"
"07054","732","833","233","161","823","348","1423","53","89"
"07055","554","635","154","135","562","338","1145","19","25"
"07056","595","621","150","123","665","278","1063","55","98"
"07057","676","749","175","159","782","309","1288","24","113"
"07058","654","716","177","123","738","332","1268","47","55"
"07059","647","696","155","106","793","289","1051","109","183"
"07060","916","959","212","172","1113","378","1572","100","203"
"07061","598","624","154","128","666","274","1074","38","110"
"07062","654","713","193","124","802","248","1099","63","205"
"07063","705","756","210","127","806","318","1226","38","197"
"07064","802","908","205","172","955","378","1395","54","261"
"07065","843","934","218","174","1016","369","1309","87","381"
"07066","873","961","242","160","1046","386","1395","75","364"
"07067","736","837","211","152","908","302","1211","67","295"
"07068","631","724","182","138","768","267","1026","54","275"
"07069","696","767","166","137","823","337","1158","42","263"
"07070","684","776","174","167","807","312","1152","32","276"
"07071","642","721","154","116","712","381","1172","34","157"
"07072","661","743","158","154","781","311","1159","53","192"
"07073","526","640","138","89","632","307","904","26","236"
"07074","819","915","220","188","946","380","1417","29","288"
"07075","600","639","131","123","675","310","982","32","225"
"07076","671","730","172","127","753","349","1151","48","202"
"07077","662","703","167","148","779","271","1092","33","240"
"07078","693","724","187","106","821","303","1162","64","191"
"07079","708","776","183","134","778","389","1171","48","265"
"07080","868","966","294","165","1054","321","1518","60","256"
"07081","970","1019","208","198","1127","456","1693","55","241"
"07082","622","672","140","152","734","268","1068","63","163"
"07083","669","725","167","132","773","322","1120","43","231"
"07084","673","698","161","135","799","276","1057","71","243"
"07085","620","639","149","130","729","251","1077","41","141"
"07086","703","763","170","123","864","309","1172","55","239"
"07087","739","864","196","136","900","371","1338","52","213"
"07088","812","867","232","201","974","272","1320","64","295"
"07089","609","749","149","135","698","376","1170","53","135"
"07090","719","766","225","137","807","316","1295","52","138"
"07091","577","654","137","137","669","288","1014","48","169"
"07092","694","868","168","143","849","402","1107","38","417"
"07093","893","900","216","251","902","424","1406","47","340"
"07094","574","695","142","101","701","325","1064","32","173"
"07095","724","817","187","161","863","330","1296","50","195"
"07096","622","797","154","151","808","306","1172","71","176"
"07097","380","502","90","57","391","344","771","31","80"
"07098","1011","1168","327","232","1152","468","1995","77","107"
"07099","494","542","74","105","641","216","977","13","46"
"07100","561","659","126","93","584","417","1047","36","137"
"07101","690","801","149","108","715","519","1249","39","203"
"07102","360","335","121","58","432","84","585","29","81"
"07103","766","836","180","266","861","295","1155","76","371"
"07104","742","839","210","134","843","394","1356","47","178"
"07105","491","556","118","90","550","289","968","20","59"
"07106","546","635","150","100","611","320","1086","8","87"
"07107","569","631","141","109","626","324","1114","28","58"
"07108","587","656","131","119","666","327","1132","29","82"
"07109","786","878","200","128","889","447","1428","51","185"
"07110","451","587","110","92","474","362","940","17","81"
"07111","393","506","94","73","395","337","845","20","34"
"07112","634","682","155","123","739","299","1157","37","122"
"07113","577","642","161","136","718","204","1055","18","146"
"07114","556","646","147","113","675","267","1109","28","65"
"07115","480","555","105","110","551","269","966","32","37"
"07116","689","829","221","130","834","333","1359","38","121"
"07117","1465","1363","397","298","1826","307","1259","107","1462"
"07118","577","692","180","123","652","314","1120","25","124"
"07119","592","675","155","118","740","254","1048","42","177"
"07120","570","701","131","94","680","366","1065","25","181"
"07121","518","648","125","104","604","333","946","29","191"
"07122","599","738","160","100","703","374","1175","23","139"
"07123","673","752","163","156","754","352","1255","22","148"
"08001","583","675","128","103","673","354","1125","17","116"
"08002","581","685","157","122","653","334","1159","27","80"
"08003","567","642","122","109","644","334","1035","32","142"
"08004","642","790","168","127","773","364","1126","31","275"
"08005","539","611","102","120","609","319","995","28","127"
"08006","760","841","197","169","882","353","1314","59","228"
"08007","540","665","123","99","611","372","1056","30","119"
"08008","763","892","180","146","903","426","1375","56","224"
"08009","852","942","215","169","1063","347","1436","70","288"
"08010","500","606","112","107","620","267","973","15","118"
"08011","546","640","149","125","638","274","1039","31","116"
"08012","576","748","138","130","751","305","1132","42","150"
"08013","529","650","139","106","609","325","1008","25","146"
"08014","604","701","152","159","731","263","1063","38","204"
"08015","644","835","175","139","844","321","1142","38","299"
"08016","514","630","153","97","574","320","954","25","165"
"08017","654","732","168","112","716","390","1173","33","180"
"08018","718","808","152","138","847","389","1291","29","206"
"08019","827","988","216","146","1054","399","1377","59","379"
"08020","649","742","161","117","796","317","1107","27","257"
"08021","676","798","166","132","812","364","1216","35","223"
"08022","584","679","121","109","727","306","1048","26","189"
"08023","649","740","187","133","791","278","1098","48","243"
"08024","619","743","147","122","743","350","1133","28","201"
"08025","524","670","140","111","653","290","950","41","203"
"08026","653","749","199","127","734","342","1161","38","203"
"08027","700","713","203","100","758","352","1261","36","116"
"08028","493","602","116","81","571","327","940","23","132"
"08029","714","818","203","170","850","309","1343","24","165"
"08030","707","783","214","140","822","314","1182","46","262"
"08031","612","696","156","115","627","410","1130","22","156"
"08032","598","710","151","109","692","356","1112","32","164"
"08033","682","772","184","137","808","325","1145","36","273"
"08034","554","737","165","112","670","344","947","21","323"
"08035","2274","2120","439","479","2993","483","1665","112","2617"
"08036","719","840","186","143","893","337","1196","27","336"
"08037","698","893","187","138","865","401","1276","25","290"
"08038","728","851","215","171","896","297","1197","24","358"
"08039","738","814","206","130","844","372","1193","28","331"
"08040","905","1005","303","168","1124","315","1525","28","357"
"08041","1261","1346","465","315","1516","311","1619","50","938"
"08042","562","708","132","103","603","432","1103","8","159"
"08043","499","654","130","125","593","305","1026","14","113"
"08044","619","699","168","126","771","253","993","34","291"
"08045","875","912","256","172","1073","286","1247","57","483"
"08046","648","802","175","141","830","304","1116","31","303"
"08047","760","871","236","174","901","320","1112","38","481"
"08048","458","528","131","93","527","235","876","9","101"
"08049","590","661","168","125","691","267","1105","17","129"
"08050","664","754","146","118","689","465","1281","30","107"
"08051","645","691","218","125","735","258","1249","18","69"
"08052","409","509","107","71","482","258","810","17","91"
"08053","537","626","133","102","541","387","1071","23","69"
"08054","747","926","157","156","812","548","1520","29","124"
"08055","871","968","184","157","794","704","1700","26","113"
"08056","705","780","151","150","791","393","1289","25","171"
"08057","619","720","140","135","697","367","1159","28","152"
"08058","750","858","173","160","885","390","1388","34","186"
"08059","471","528","122","94","551","232","894","12","93"
"08060","537","653","131","92","586","381","1118","13","59"
"08061","801","853","191","152","869","442","1534","19","101"
"08062","546","600","96","110","582","358","1091","8","47"
"08063","508","564","82","83","474","433","1022","8","42"
"08064","843","927","239","159","949","423","1630","26","114"
"08065","911","882","333","224","1005","231","1377","60","356"
"08066","796","828","266","201","933","224","1257","51","316"
"08067","863","916","242","216","999","322","1423","43","313"
"08068","936","1032","295","220","1097","356","1408","39","521"
"08069","752","825","201","158","920","298","1149","41","387"
"08070","708","789","224","156","850","267","1085","41","371"
"08071","850","910","235","189","986","350","1361","26","373"
"08072","562","658","166","129","617","308","985","32","203"
"08073","830","940","242","174","1070","284","1228","61","481"
"08074","766","798","244","164","892","264","1110","41","413"
"08075","889","1049","266","188","1091","393","1425","43","470"
"08076","729","872","181","131","827","462","1297","34","270"
"08077","672","780","208","158","801","285","1233","17","202"
"08078","737","846","184","145","945","309","1159","52","372"
"08079","689","776","198","153","854","260","1081","42","342"
"08080","763","812","203","177","846","349","1178","43","354"
"08081","814","888","284","182","973","263","1173","48","481"
"08082","729","890","188","155","887","389","1245","31","343"
"08083","625","729","182","114","761","297","993","47","314"
"08084","528","641","147","98","606","318","976","15","178"
"08085","716","766","180","167","862","273","1148","36","298"
"08086","786","918","204","166","928","406","1363","54","287"
"08087","586","678","163","103","680","318","1036","17","211"
"08088","604","687","161","120","721","289","1050","29","212"
"08089","573","653","166","103","676","281","969","29","228"
"08090","563","652","148","106","644","317","1006","17","192"
"08091","565","663","110","121","653","344","1005","24","199"
"08092","483","533","117","85","489","325","870","10","136"
"08093","630","650","168","128","679","305","1102","10","168"
"08094","693","767","120","149","667","524","1301","25","134"
"08095","518","558","109","107","517","343","988","16","72"
"08096","732","812","214","155","858","317","1293","35","216"
"08097","642","715","184","156","735","282","1145","22","190"
"08098","610","674","157","146","711","270","1052","26","206"
"08099","714","768","197","157","857","271","1142","58","282"
"08100","594","724","157","118","746","297","1071","34","213"
"08101","825","949","233","148","924","469","1497","21","256"
"08102","682","902","171","146","822","445","1186","25","373"
"08103","830","851","260","160","1023","238","1135","38","508"
"08104","615","669","164","148","750","222","972","30","282"
"08105","693","796","201","172","832","284","1149","23","317"
"08106","628","666","185","176","708","225","852","34","408"
"08107","932","1035","249","205","1138","375","1685","16","266"
"08108","968","973","347","245","1126","223","1466","60","415"
"08109","496","485","146","122","541","172","861","13","107"
"08110","1003","1025","383","251","1138","256","1270","42","716"
"08111","817","893","275","209","940","286","1161","35","514"
"08112","879","886","306","200","973","286","1176","27","562"
"08113","880","915","307","223","928","337","1258","25","512"
"08114","1012","1041","335","234","1107","377","1413","33","607"
"08115","863","903","289","188","986","303","1145","33","588"
"08116","704","743","260","156","788","243","1202","36","209"
"08215","682","887","291","133","826","319","1290","49","230"
"09001","1453","1322","534","329","1588","324","1630","75","1070"
"09002","1076","1084","355","260","1229","316","1413","71","676"
"09003","1146","1061","383","246","1206","372","1488","74","645"
"09004","805","786","220","185","909","277","1122","36","433"
"09005","867","903","279","177","1027","287","1447","57","266"
"09006","634","645","208","119","727","225","1106","27","146"
"09007","661","717","214","175","782","207","1132","15","231"
"09008","952","937","514","186","1080","109","1744","34","111"
"09009","699","738","258","144","706","329","1312","19","106"
"09010","871","944","219","187","958","451","1661","14","140"
"09011","826","860","239","185","911","351","1469","24","193"
"09013","967","1068","345","241","1158","291","1566","38","431"
"09014","1692","1373","379","326","2004","356","1579","104","1382"
