"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS"
"10046","580","636","105","73","684","354","968","103","145"
"10047","846","916","141","133","1049","439","1326","188","248"
"10048","838","860","212","163","996","327","1273","212","213"
"10049","652","652","144","110","710","340","1077","103","124"
"10050","727","837","146","138","907","373","1315","94","155"
"10051","780","838","223","146","924","325","1277","183","158"
"10052","1206","1206","367","298","1495","252","1906","309","197"
"10053","857","887","197","223","997","327","1449","184","111"
"10054","459","505","131","135","548","150","772","107","85"
"10055","1309","1328","339","409","1418","471","2100","329","208"
"10056","946","945","271","130","1279","211","1263","328","300"
"10057","717","736","198","88","926","241","1041","215","197"
"10058","580","573","152","77","740","184","869","130","154"
"10059","843","922","246","123","1108","288","1232","299","234"
"10060","838","833","220","158","1105","188","1155","244","272"
"10061","858","928","236","136","980","434","1503","153","130"
"10062","747","783","204","153","883","290","1279","125","126"
"10063","578","617","138","97","687","273","996","110","89"
"10064","830","887","238","142","1063","274","1284","238","195"
"10065","758","836","236","118","976","264","1295","179","120"
"10066","1057","1082","337","235","1211","356","1709","215","215"
"10067","918","997","384","247","1116","168","1580","202","133"
"10068","827","843","312","192","974","192","1423","139","108"
"10069","1316","1442","587","208","1628","335","2192","280","286"
"10070","776","867","187","144","1021","291","1305","176","162"
"10071","890","943","243","191","1065","334","1619","117","97"
"10072","1004","1018","332","188","1191","311","1563","229","230"
"10073","714","766","178","130","782","390","1258","87","135"
"10074","820","882","219","155","1026","302","1295","181","226"
"10075","768","796","192","154","916","302","1223","150","191"
"10076","1089","1146","474","91","1544","126","1917","127","191"
"10077","926","928","356","216","1074","208","1533","186","135"
"10078","1207","1239","530","244","1421","251","1933","267","246"
"10079","844","911","241","201","979","334","1489","121","145"
"10080","1117","1138","512","238","1266","239","1367","379","509"
"10081","1074","1070","311","211","1268","354","1447","116","581"
"10082","1020","954","357","230","1164","223","1078","68","828"
"10083","1293","1006","435","300","1335","229","1138","44","1117"
"10084","828","827","237","178","983","257","1056","55","544"
"10085","1093","1035","354","247","1213","314","1315","68","745"
"10086","997","979","286","232","1130","328","1407","54","515"
"10087","941","952","285","207","1057","344","1328","57","508"
"10088","839","859","189","180","976","353","1461","28","209"
"10089","2611","1634","541","450","2891","363","1631","313","2301"
"10090","708","780","199","159","869","261","1081","59","348"
"10091","975","1013","246","190","1088","464","1587","88","313"
"10092","684","781","110","113","788","454","1279","34","152"
"10093","514","551","89","80","553","343","965","28","72"
"10094","1534","1520","627","174","2013","240","2219","353","482"
"10095","645","649","184","108","822","180","1048","82","164"
"10096","767","876","267","159","983","234","1293","160","190"
"10097","745","843","266","140","885","297","1369","112","107"
"10098","857","953","181","206","1122","301","1650","71","89"
"10099","536","612","154","142","651","201","1037","13","98"
