Municipalities;Indicadores de renta media;Period;Total
0801401001 Aiguafreda sección 01001;Índice de Gini;2017;28.1
0801401001 Aiguafreda sección 01001;Índice de Gini;2016;28.3
0801401001 Aiguafreda sección 01001;Índice de Gini;2015;29.6
0801401001 Aiguafreda sección 01001;Distribución de la renta P80/P20;2017;2.1
0801401001 Aiguafreda sección 01001;Distribución de la renta P80/P20;2016;2.3
0801401001 Aiguafreda sección 01001;Distribución de la renta P80/P20;2015;2.4
08003 Alella;Índice de Gini;2017;37.0
08003 Alella;Índice de Gini;2016;37.0
08003 Alella;Índice de Gini;2015;37.2
08003 Alella;Distribución de la renta P80/P20;2017;2.9
08003 Alella;Distribución de la renta P80/P20;2016;3.1
08003 Alella;Distribución de la renta P80/P20;2015;2.9
0800301 Alella distrito 01;Índice de Gini;2017;37.0
0800301 Alella distrito 01;Índice de Gini;2016;37.0
0800301 Alella distrito 01;Índice de Gini;2015;37.2
0800301 Alella distrito 01;Distribución de la renta P80/P20;2017;2.9
0800301 Alella distrito 01;Distribución de la renta P80/P20;2016;3.1
0800301 Alella distrito 01;Distribución de la renta P80/P20;2015;2.9
0800301001 Alella sección 01001;Índice de Gini;2017;35.0
0800301001 Alella sección 01001;Índice de Gini;2016;35.2
0800301001 Alella sección 01001;Índice de Gini;2015;35.9
0800301001 Alella sección 01001;Distribución de la renta P80/P20;2017;2.9
0800301001 Alella sección 01001;Distribución de la renta P80/P20;2016;3.1
0800301001 Alella sección 01001;Distribución de la renta P80/P20;2015;3.1
0800301004 Alella sección 01004;Índice de Gini;2017;36.6
0800301004 Alella sección 01004;Índice de Gini;2016;36.3
0800301004 Alella sección 01004;Índice de Gini;2015;36.5
0800301004 Alella sección 01004;Distribución de la renta P80/P20;2017;2.9
0800301004 Alella sección 01004;Distribución de la renta P80/P20;2016;2.9
0800301004 Alella sección 01004;Distribución de la renta P80/P20;2015;2.9
0800301002 Alella sección 01002;Índice de Gini;2017;38.9
0800301002 Alella sección 01002;Índice de Gini;2016;39.4
0800301002 Alella sección 01002;Índice de Gini;2015;40.3
0800301002 Alella sección 01002;Distribución de la renta P80/P20;2017;3.3
0800301002 Alella sección 01002;Distribución de la renta P80/P20;2016;3.3
0800301002 Alella sección 01002;Distribución de la renta P80/P20;2015;3.2
0800301003 Alella sección 01003;Índice de Gini;2017;36.8
0800301003 Alella sección 01003;Índice de Gini;2016;38.1
0800301003 Alella sección 01003;Índice de Gini;2015;36.2
0800301003 Alella sección 01003;Distribución de la renta P80/P20;2017;2.9
0800301003 Alella sección 01003;Distribución de la renta P80/P20;2016;3.1
0800301003 Alella sección 01003;Distribución de la renta P80/P20;2015;2.8
08004 Alpens;Índice de Gini;2017;33.2
08004 Alpens;Índice de Gini;2016;36.4
08004 Alpens;Índice de Gini;2015;36.0
08004 Alpens;Distribución de la renta P80/P20;2017;2.5
08004 Alpens;Distribución de la renta P80/P20;2016;3.3
08004 Alpens;Distribución de la renta P80/P20;2015;2.9
0800401 Alpens distrito 01;Índice de Gini;2017;33.2
0800401 Alpens distrito 01;Índice de Gini;2016;36.4
0800401 Alpens distrito 01;Índice de Gini;2015;36.0
0800401 Alpens distrito 01;Distribución de la renta P80/P20;2017;2.5
0800401 Alpens distrito 01;Distribución de la renta P80/P20;2016;3.3
0800401 Alpens distrito 01;Distribución de la renta P80/P20;2015;2.9
0800401001 Alpens sección 01001;Índice de Gini;2017;33.2
0800401001 Alpens sección 01001;Índice de Gini;2016;36.4
0800401001 Alpens sección 01001;Índice de Gini;2015;36.0
0800401001 Alpens sección 01001;Distribución de la renta P80/P20;2017;2.5
0800401001 Alpens sección 01001;Distribución de la renta P80/P20;2016;3.3
0800401001 Alpens sección 01001;Distribución de la renta P80/P20;2015;2.9
08005 Ametlla del Vallès, L';Índice de Gini;2017;34.0
08005 Ametlla del Vallès, L';Índice de Gini;2016;35.4
08005 Ametlla del Vallès, L';Índice de Gini;2015;35.6
08005 Ametlla del Vallès, L';Distribución de la renta P80/P20;2017;2.8
08005 Ametlla del Vallès, L';Distribución de la renta P80/P20;2016;2.8
08005 Ametlla del Vallès, L';Distribución de la renta P80/P20;2015;2.9
0800501 Ametlla del Vallès, L' distrito 01;Índice de Gini;2017;34.0
0800501 Ametlla del Vallès, L' distrito 01;Índice de Gini;2016;35.4
0800501 Ametlla del Vallès, L' distrito 01;Índice de Gini;2015;35.6
0800501 Ametlla del Vallès, L' distrito 01;Distribución de la renta P80/P20;2017;2.8
0800501 Ametlla del Vallès, L' distrito 01;Distribución de la renta P80/P20;2016;2.8
0800501 Ametlla del Vallès, L' distrito 01;Distribución de la renta P80/P20;2015;2.9
0800501005 Ametlla del Vallès, L' sección 01005;Índice de Gini;2017;29.7
0800501005 Ametlla del Vallès, L' sección 01005;Índice de Gini;2016;31.6
0800501005 Ametlla del Vallès, L' sección 01005;Índice de Gini;2015;31.6
0800501005 Ametlla del Vallès, L' sección 01005;Distribución de la renta P80/P20;2017;2.3
0800501005 Ametlla del Vallès, L' sección 01005;Distribución de la renta P80/P20;2016;2.6
0800501005 Ametlla del Vallès, L' sección 01005;Distribución de la renta P80/P20;2015;2.5
