Municipalities;Indicadores de renta media;Period;Total
0801904038 Barcelona sección 04038;Distribución de la renta P80/P20;2016;2.7
0801904038 Barcelona sección 04038;Distribución de la renta P80/P20;2015;2.8
0801907 Barcelona distrito 07;Índice de Gini;2017;32.1
0801907 Barcelona distrito 07;Índice de Gini;2016;32.6
0801907 Barcelona distrito 07;Índice de Gini;2015;32.6
0801907 Barcelona distrito 07;Distribución de la renta P80/P20;2017;2.8
0801907 Barcelona distrito 07;Distribución de la renta P80/P20;2016;2.8
0801907 Barcelona distrito 07;Distribución de la renta P80/P20;2015;2.9
0801907001 Barcelona sección 07001;Índice de Gini;2017;28.6
0801907001 Barcelona sección 07001;Índice de Gini;2016;29.6
0801907001 Barcelona sección 07001;Índice de Gini;2015;30.8
0801907001 Barcelona sección 07001;Distribución de la renta P80/P20;2017;2.4
0801907001 Barcelona sección 07001;Distribución de la renta P80/P20;2016;2.4
0801907001 Barcelona sección 07001;Distribución de la renta P80/P20;2015;2.7
0801907006 Barcelona sección 07006;Índice de Gini;2017;29.4
0801907006 Barcelona sección 07006;Índice de Gini;2016;30.4
0801907006 Barcelona sección 07006;Índice de Gini;2015;30.7
0801907006 Barcelona sección 07006;Distribución de la renta P80/P20;2017;2.5
0801907006 Barcelona sección 07006;Distribución de la renta P80/P20;2016;2.6
0801907006 Barcelona sección 07006;Distribución de la renta P80/P20;2015;2.5
0801907011 Barcelona sección 07011;Índice de Gini;2017;35.6
0801907011 Barcelona sección 07011;Índice de Gini;2016;35.7
0801907011 Barcelona sección 07011;Índice de Gini;2015;36.7
0801907011 Barcelona sección 07011;Distribución de la renta P80/P20;2017;3.4
0801907011 Barcelona sección 07011;Distribución de la renta P80/P20;2016;3.3
0801907011 Barcelona sección 07011;Distribución de la renta P80/P20;2015;3.3
0801907016 Barcelona sección 07016;Índice de Gini;2017;31.7
0801907016 Barcelona sección 07016;Índice de Gini;2016;32.3
0801907016 Barcelona sección 07016;Índice de Gini;2015;30.8
0801907016 Barcelona sección 07016;Distribución de la renta P80/P20;2017;2.9
0801907016 Barcelona sección 07016;Distribución de la renta P80/P20;2016;2.8
0801907016 Barcelona sección 07016;Distribución de la renta P80/P20;2015;2.9
0801907027 Barcelona sección 07027;Índice de Gini;2017;33.8
0801907027 Barcelona sección 07027;Índice de Gini;2016;34.7
0801907027 Barcelona sección 07027;Índice de Gini;2015;33.7
0801907027 Barcelona sección 07027;Distribución de la renta P80/P20;2017;3.1
0801907027 Barcelona sección 07027;Distribución de la renta P80/P20;2016;3.1
0801907027 Barcelona sección 07027;Distribución de la renta P80/P20;2015;2.9
0801907037 Barcelona sección 07037;Índice de Gini;2017;32.9
0801907037 Barcelona sección 07037;Índice de Gini;2016;33.8
0801907037 Barcelona sección 07037;Índice de Gini;2015;33.2
0801907037 Barcelona sección 07037;Distribución de la renta P80/P20;2017;2.9
0801907037 Barcelona sección 07037;Distribución de la renta P80/P20;2016;2.9
0801907037 Barcelona sección 07037;Distribución de la renta P80/P20;2015;2.9
0801907064 Barcelona sección 07064;Índice de Gini;2017;29.4
0801907064 Barcelona sección 07064;Índice de Gini;2016;29.8
0801907064 Barcelona sección 07064;Índice de Gini;2015;28.8
0801907064 Barcelona sección 07064;Distribución de la renta P80/P20;2017;2.6
0801907064 Barcelona sección 07064;Distribución de la renta P80/P20;2016;2.5
0801907064 Barcelona sección 07064;Distribución de la renta P80/P20;2015;2.4
0801907066 Barcelona sección 07066;Índice de Gini;2017;30.2
0801907066 Barcelona sección 07066;Índice de Gini;2016;30.2
0801907066 Barcelona sección 07066;Índice de Gini;2015;31.8
0801907066 Barcelona sección 07066;Distribución de la renta P80/P20;2017;2.8
0801907066 Barcelona sección 07066;Distribución de la renta P80/P20;2016;2.8
0801907066 Barcelona sección 07066;Distribución de la renta P80/P20;2015;3.0
0801907068 Barcelona sección 07068;Índice de Gini;2017;28.8
0801907068 Barcelona sección 07068;Índice de Gini;2016;28.3
0801907068 Barcelona sección 07068;Índice de Gini;2015;27.7
0801907068 Barcelona sección 07068;Distribución de la renta P80/P20;2017;2.5
0801907068 Barcelona sección 07068;Distribución de la renta P80/P20;2016;2.4
0801907068 Barcelona sección 07068;Distribución de la renta P80/P20;2015;2.3
0801907069 Barcelona sección 07069;Índice de Gini;2017;28.1
0801907069 Barcelona sección 07069;Índice de Gini;2016;28.5
0801907069 Barcelona sección 07069;Índice de Gini;2015;28.1
0801907069 Barcelona sección 07069;Distribución de la renta P80/P20;2017;2.4
0801907069 Barcelona sección 07069;Distribución de la renta P80/P20;2016;2.6
0801907069 Barcelona sección 07069;Distribución de la renta P80/P20;2015;2.5
0801907085 Barcelona sección 07085;Índice de Gini;2017;29.5
0801907085 Barcelona sección 07085;Índice de Gini;2016;28.3
0801907085 Barcelona sección 07085;Índice de Gini;2015;28.5
0801907085 Barcelona sección 07085;Distribución de la renta P80/P20;2017;2.3
0801907085 Barcelona sección 07085;Distribución de la renta P80/P20;2016;2.5
0801907085 Barcelona sección 07085;Distribución de la renta P80/P20;2015;2.6
0801907097 Barcelona sección 07097;Índice de Gini;2017;30.4
0801907097 Barcelona sección 07097;Índice de Gini;2016;32.2
0801907097 Barcelona sección 07097;Índice de Gini;2015;32.3
0801907097 Barcelona sección 07097;Distribución de la renta P80/P20;2017;2.6
0801907097 Barcelona sección 07097;Distribución de la renta P80/P20;2016;2.9
0801907097 Barcelona sección 07097;Distribución de la renta P80/P20;2015;2.9
0801907099 Barcelona sección 07099;Índice de Gini;2017;26.5
0801907099 Barcelona sección 07099;Índice de Gini;2016;27.6
0801907099 Barcelona sección 07099;Índice de Gini;2015;26.4
0801907099 Barcelona sección 07099;Distribución de la renta P80/P20;2017;2.3
0801907099 Barcelona sección 07099;Distribución de la renta P80/P20;2016;2.3
0801907099 Barcelona sección 07099;Distribución de la renta P80/P20;2015;2.4
0801907100 Barcelona sección 07100;Índice de Gini;2017;28.1
0801907100 Barcelona sección 07100;Índice de Gini;2016;28.4
0801907100 Barcelona sección 07100;Índice de Gini;2015;28.0
0801907100 Barcelona sección 07100;Distribución de la renta P80/P20;2017;2.6
0801907100 Barcelona sección 07100;Distribución de la renta P80/P20;2016;2.7
0801907100 Barcelona sección 07100;Distribución de la renta P80/P20;2015;2.7
0801907105 Barcelona sección 07105;Índice de Gini;2017;27.3
0801907105 Barcelona sección 07105;Índice de Gini;2016;28.6
0801907105 Barcelona sección 07105;Índice de Gini;2015;27.9
0801907105 Barcelona sección 07105;Distribución de la renta P80/P20;2017;2.4
0801907105 Barcelona sección 07105;Distribución de la renta P80/P20;2016;2.4
0801907105 Barcelona sección 07105;Distribución de la renta P80/P20;2015;2.5
0801907111 Barcelona sección 07111;Índice de Gini;2017;32.0
0801907111 Barcelona sección 07111;Índice de Gini;2016;30.3
0801907111 Barcelona sección 07111;Índice de Gini;2015;30.4
0801907111 Barcelona sección 07111;Distribución de la renta P80/P20;2017;2.5
0801907111 Barcelona sección 07111;Distribución de la renta P80/P20;2016;2.6
0801907111 Barcelona sección 07111;Distribución de la renta P80/P20;2015;2.4
0801907002 Barcelona sección 07002;Índice de Gini;2017;32.9
0801907002 Barcelona sección 07002;Índice de Gini;2016;32.8
0801907002 Barcelona sección 07002;Índice de Gini;2015;33.9
0801907002 Barcelona sección 07002;Distribución de la renta P80/P20;2017;3.0
0801907002 Barcelona sección 07002;Distribución de la renta P80/P20;2016;2.9
0801907002 Barcelona sección 07002;Distribución de la renta P80/P20;2015;2.9
0801907019 Barcelona sección 07019;Índice de Gini;2017;32.8
0801907019 Barcelona sección 07019;Índice de Gini;2016;32.9
0801907019 Barcelona sección 07019;Índice de Gini;2015;33.3
0801907019 Barcelona sección 07019;Distribución de la renta P80/P20;2017;3.0
0801907019 Barcelona sección 07019;Distribución de la renta P80/P20;2016;3.0
0801907019 Barcelona sección 07019;Distribución de la renta P80/P20;2015;3.2
0801907020 Barcelona sección 07020;Índice de Gini;2017;33.9
0801907020 Barcelona sección 07020;Índice de Gini;2016;33.3
0801907020 Barcelona sección 07020;Índice de Gini;2015;34.3
0801907020 Barcelona sección 07020;Distribución de la renta P80/P20;2017;3.1
0801907020 Barcelona sección 07020;Distribución de la renta P80/P20;2016;2.9
0801907020 Barcelona sección 07020;Distribución de la renta P80/P20;2015;2.9
0801907022 Barcelona sección 07022;Índice de Gini;2017;33.9
0801907022 Barcelona sección 07022;Índice de Gini;2016;35.2
0801907022 Barcelona sección 07022;Índice de Gini;2015;34.6
0801907022 Barcelona sección 07022;Distribución de la renta P80/P20;2017;3.0
0801907022 Barcelona sección 07022;Distribución de la renta P80/P20;2016;3.2
0801907022 Barcelona sección 07022;Distribución de la renta P80/P20;2015;3.0
0801907026 Barcelona sección 07026;Índice de Gini;2017;30.8
0801907026 Barcelona sección 07026;Índice de Gini;2016;34.0
0801907026 Barcelona sección 07026;Índice de Gini;2015;30.9
0801907026 Barcelona sección 07026;Distribución de la renta P80/P20;2017;2.9
0801907026 Barcelona sección 07026;Distribución de la renta P80/P20;2016;2.6
0801907026 Barcelona sección 07026;Distribución de la renta P80/P20;2015;2.9
0801907030 Barcelona sección 07030;Índice de Gini;2017;32.8
0801907030 Barcelona sección 07030;Índice de Gini;2016;33.6
0801907030 Barcelona sección 07030;Índice de Gini;2015;35.0
0801907030 Barcelona sección 07030;Distribución de la renta P80/P20;2017;2.9
0801907030 Barcelona sección 07030;Distribución de la renta P80/P20;2016;2.9
0801907030 Barcelona sección 07030;Distribución de la renta P80/P20;2015;2.9
0801907031 Barcelona sección 07031;Índice de Gini;2017;32.9
0801907031 Barcelona sección 07031;Índice de Gini;2016;32.3
0801907031 Barcelona sección 07031;Índice de Gini;2015;33.9
0801907031 Barcelona sección 07031;Distribución de la renta P80/P20;2017;2.9
0801907031 Barcelona sección 07031;Distribución de la renta P80/P20;2016;2.8
0801907031 Barcelona sección 07031;Distribución de la renta P80/P20;2015;3.1
0801907046 Barcelona sección 07046;Índice de Gini;2017;32.1
0801907046 Barcelona sección 07046;Índice de Gini;2016;33.6
0801907046 Barcelona sección 07046;Índice de Gini;2015;35.1
0801907046 Barcelona sección 07046;Distribución de la renta P80/P20;2017;2.7
0801907046 Barcelona sección 07046;Distribución de la renta P80/P20;2016;3.2
0801907046 Barcelona sección 07046;Distribución de la renta P80/P20;2015;3.2
0801907052 Barcelona sección 07052;Índice de Gini;2017;31.4
0801907052 Barcelona sección 07052;Índice de Gini;2016;29.9
0801907052 Barcelona sección 07052;Índice de Gini;2015;30.4
0801907052 Barcelona sección 07052;Distribución de la renta P80/P20;2017;2.5
0801907052 Barcelona sección 07052;Distribución de la renta P80/P20;2016;2.5
0801907052 Barcelona sección 07052;Distribución de la renta P80/P20;2015;2.4
0801907072 Barcelona sección 07072;Índice de Gini;2017;29.2
0801907072 Barcelona sección 07072;Índice de Gini;2016;30.6
0801907072 Barcelona sección 07072;Índice de Gini;2015;30.3
0801907072 Barcelona sección 07072;Distribución de la renta P80/P20;2017;2.6
0801907072 Barcelona sección 07072;Distribución de la renta P80/P20;2016;2.7
0801907072 Barcelona sección 07072;Distribución de la renta P80/P20;2015;2.5
0801907079 Barcelona sección 07079;Índice de Gini;2017;29.0
0801907079 Barcelona sección 07079;Índice de Gini;2016;28.7
0801907079 Barcelona sección 07079;Índice de Gini;2015;27.8
0801907079 Barcelona sección 07079;Distribución de la renta P80/P20;2017;2.5
0801907079 Barcelona sección 07079;Distribución de la renta P80/P20;2016;2.5
0801907079 Barcelona sección 07079;Distribución de la renta P80/P20;2015;2.5
0801907081 Barcelona sección 07081;Índice de Gini;2017;28.0
0801907081 Barcelona sección 07081;Índice de Gini;2016;27.4
0801907081 Barcelona sección 07081;Índice de Gini;2015;28.0
0801907081 Barcelona sección 07081;Distribución de la renta P80/P20;2017;2.5
0801907081 Barcelona sección 07081;Distribución de la renta P80/P20;2016;2.4
0801907081 Barcelona sección 07081;Distribución de la renta P80/P20;2015;2.4
0801907093 Barcelona sección 07093;Índice de Gini;2017;30.0
0801907093 Barcelona sección 07093;Índice de Gini;2016;29.5
0801907093 Barcelona sección 07093;Índice de Gini;2015;28.6
0801907093 Barcelona sección 07093;Distribución de la renta P80/P20;2017;2.6
0801907093 Barcelona sección 07093;Distribución de la renta P80/P20;2016;2.5
0801907093 Barcelona sección 07093;Distribución de la renta P80/P20;2015;2.5
0801907095 Barcelona sección 07095;Índice de Gini;2017;30.6
0801907095 Barcelona sección 07095;Índice de Gini;2016;29.4
0801907095 Barcelona sección 07095;Índice de Gini;2015;27.9
0801907095 Barcelona sección 07095;Distribución de la renta P80/P20;2017;2.5
0801907095 Barcelona sección 07095;Distribución de la renta P80/P20;2016;2.5
0801907095 Barcelona sección 07095;Distribución de la renta P80/P20;2015;2.3
0801907096 Barcelona sección 07096;Índice de Gini;2017;30.6
0801907096 Barcelona sección 07096;Índice de Gini;2016;29.5
0801907096 Barcelona sección 07096;Índice de Gini;2015;30.6
0801907096 Barcelona sección 07096;Distribución de la renta P80/P20;2017;2.8
0801907096 Barcelona sección 07096;Distribución de la renta P80/P20;2016;2.7
0801907096 Barcelona sección 07096;Distribución de la renta P80/P20;2015;2.6
0801907106 Barcelona sección 07106;Índice de Gini;2017;32.7
0801907106 Barcelona sección 07106;Índice de Gini;2016;31.7
0801907106 Barcelona sección 07106;Índice de Gini;2015;31.8
0801907106 Barcelona sección 07106;Distribución de la renta P80/P20;2017;2.8
0801907106 Barcelona sección 07106;Distribución de la renta P80/P20;2016;2.8
0801907106 Barcelona sección 07106;Distribución de la renta P80/P20;2015;2.8
0801907108 Barcelona sección 07108;Índice de Gini;2017;27.0
0801907108 Barcelona sección 07108;Índice de Gini;2016;30.2
0801907108 Barcelona sección 07108;Índice de Gini;2015;30.0
0801907108 Barcelona sección 07108;Distribución de la renta P80/P20;2017;2.3
0801907108 Barcelona sección 07108;Distribución de la renta P80/P20;2016;2.6
0801907108 Barcelona sección 07108;Distribución de la renta P80/P20;2015;2.4
0801907112 Barcelona sección 07112;Índice de Gini;2017;28.5
0801907112 Barcelona sección 07112;Índice de Gini;2016;28.5
0801907112 Barcelona sección 07112;Índice de Gini;2015;29.5
0801907112 Barcelona sección 07112;Distribución de la renta P80/P20;2017;2.5
0801907112 Barcelona sección 07112;Distribución de la renta P80/P20;2016;2.4
0801907112 Barcelona sección 07112;Distribución de la renta P80/P20;2015;2.5
0801907116 Barcelona sección 07116;Índice de Gini;2017;26.4
0801907116 Barcelona sección 07116;Índice de Gini;2016;26.7
0801907116 Barcelona sección 07116;Índice de Gini;2015;26.3
0801907116 Barcelona sección 07116;Distribución de la renta P80/P20;2017;2.2
0801907116 Barcelona sección 07116;Distribución de la renta P80/P20;2016;2.3
0801907116 Barcelona sección 07116;Distribución de la renta P80/P20;2015;2.2
0801907008 Barcelona sección 07008;Índice de Gini;2017;28.3
0801907008 Barcelona sección 07008;Índice de Gini;2016;29.9
0801907008 Barcelona sección 07008;Índice de Gini;2015;29.9
0801907008 Barcelona sección 07008;Distribución de la renta P80/P20;2017;2.4
0801907008 Barcelona sección 07008;Distribución de la renta P80/P20;2016;2.5
0801907008 Barcelona sección 07008;Distribución de la renta P80/P20;2015;2.7
0801907009 Barcelona sección 07009;Índice de Gini;2017;28.3
0801907009 Barcelona sección 07009;Índice de Gini;2016;28.1
0801907009 Barcelona sección 07009;Índice de Gini;2015;28.6
0801907009 Barcelona sección 07009;Distribución de la renta P80/P20;2017;2.4
0801907009 Barcelona sección 07009;Distribución de la renta P80/P20;2016;2.4
0801907009 Barcelona sección 07009;Distribución de la renta P80/P20;2015;2.4
0801907021 Barcelona sección 07021;Índice de Gini;2017;32.1
0801907021 Barcelona sección 07021;Índice de Gini;2016;30.6
0801907021 Barcelona sección 07021;Índice de Gini;2015;30.7
0801907021 Barcelona sección 07021;Distribución de la renta P80/P20;2017;2.6
0801907021 Barcelona sección 07021;Distribución de la renta P80/P20;2016;2.5
0801907021 Barcelona sección 07021;Distribución de la renta P80/P20;2015;2.8
0801907042 Barcelona sección 07042;Índice de Gini;2017;33.5
0801907042 Barcelona sección 07042;Índice de Gini;2016;34.4
0801907042 Barcelona sección 07042;Índice de Gini;2015;32.4
0801907042 Barcelona sección 07042;Distribución de la renta P80/P20;2017;3.1
0801907042 Barcelona sección 07042;Distribución de la renta P80/P20;2016;3.3
0801907042 Barcelona sección 07042;Distribución de la renta P80/P20;2015;3.1
0801907047 Barcelona sección 07047;Índice de Gini;2017;33.3
0801907047 Barcelona sección 07047;Índice de Gini;2016;32.9
0801907047 Barcelona sección 07047;Índice de Gini;2015;33.6
0801907047 Barcelona sección 07047;Distribución de la renta P80/P20;2017;3.3
0801907047 Barcelona sección 07047;Distribución de la renta P80/P20;2016;3.1
0801907047 Barcelona sección 07047;Distribución de la renta P80/P20;2015;3.1
0801907055 Barcelona sección 07055;Índice de Gini;2017;32.0
0801907055 Barcelona sección 07055;Índice de Gini;2016;35.0
0801907055 Barcelona sección 07055;Índice de Gini;2015;33.6
0801907055 Barcelona sección 07055;Distribución de la renta P80/P20;2017;2.6
0801907055 Barcelona sección 07055;Distribución de la renta P80/P20;2016;2.9
0801907055 Barcelona sección 07055;Distribución de la renta P80/P20;2015;3.1
0801907065 Barcelona sección 07065;Índice de Gini;2017;29.1
0801907065 Barcelona sección 07065;Índice de Gini;2016;30.5
0801907065 Barcelona sección 07065;Índice de Gini;2015;30.8
0801907065 Barcelona sección 07065;Distribución de la renta P80/P20;2017;2.6
0801907065 Barcelona sección 07065;Distribución de la renta P80/P20;2016;2.7
0801907065 Barcelona sección 07065;Distribución de la renta P80/P20;2015;2.6
0801907071 Barcelona sección 07071;Índice de Gini;2017;29.1
0801907071 Barcelona sección 07071;Índice de Gini;2016;29.5
0801907071 Barcelona sección 07071;Índice de Gini;2015;27.0
0801907071 Barcelona sección 07071;Distribución de la renta P80/P20;2017;2.6
0801907071 Barcelona sección 07071;Distribución de la renta P80/P20;2016;2.6
0801907071 Barcelona sección 07071;Distribución de la renta P80/P20;2015;2.3
0801907075 Barcelona sección 07075;Índice de Gini;2017;30.8
0801907075 Barcelona sección 07075;Índice de Gini;2016;31.1
0801907075 Barcelona sección 07075;Índice de Gini;2015;29.7
0801907075 Barcelona sección 07075;Distribución de la renta P80/P20;2017;2.6
0801907075 Barcelona sección 07075;Distribución de la renta P80/P20;2016;2.7
0801907075 Barcelona sección 07075;Distribución de la renta P80/P20;2015;2.8
0801907086 Barcelona sección 07086;Índice de Gini;2017;30.9
0801907086 Barcelona sección 07086;Índice de Gini;2016;32.7
0801907086 Barcelona sección 07086;Índice de Gini;2015;32.3
0801907086 Barcelona sección 07086;Distribución de la renta P80/P20;2017;2.8
0801907086 Barcelona sección 07086;Distribución de la renta P80/P20;2016;3.1
0801907086 Barcelona sección 07086;Distribución de la renta P80/P20;2015;2.8
0801907101 Barcelona sección 07101;Índice de Gini;2017;29.4
0801907101 Barcelona sección 07101;Índice de Gini;2016;28.3
0801907101 Barcelona sección 07101;Índice de Gini;2015;26.7
0801907101 Barcelona sección 07101;Distribución de la renta P80/P20;2017;2.5
0801907101 Barcelona sección 07101;Distribución de la renta P80/P20;2016;2.5
0801907101 Barcelona sección 07101;Distribución de la renta P80/P20;2015;2.5
0801907107 Barcelona sección 07107;Índice de Gini;2017;28.8
0801907107 Barcelona sección 07107;Índice de Gini;2016;29.8
0801907107 Barcelona sección 07107;Índice de Gini;2015;30.7
0801907107 Barcelona sección 07107;Distribución de la renta P80/P20;2017;2.6
0801907107 Barcelona sección 07107;Distribución de la renta P80/P20;2016;2.6
0801907107 Barcelona sección 07107;Distribución de la renta P80/P20;2015;2.7
0801907110 Barcelona sección 07110;Índice de Gini;2017;32.5
0801907110 Barcelona sección 07110;Índice de Gini;2016;31.0
0801907110 Barcelona sección 07110;Índice de Gini;2015;31.5
0801907110 Barcelona sección 07110;Distribución de la renta P80/P20;2017;2.7
0801907110 Barcelona sección 07110;Distribución de la renta P80/P20;2016;2.7
0801907110 Barcelona sección 07110;Distribución de la renta P80/P20;2015;2.6
0801907115 Barcelona sección 07115;Índice de Gini;2017;30.3
0801907115 Barcelona sección 07115;Índice de Gini;2016;29.9
0801907115 Barcelona sección 07115;Índice de Gini;2015;30.0
0801907115 Barcelona sección 07115;Distribución de la renta P80/P20;2017;2.6
0801907115 Barcelona sección 07115;Distribución de la renta P80/P20;2016;2.6
0801907115 Barcelona sección 07115;Distribución de la renta P80/P20;2015;2.8
0801907120 Barcelona sección 07120;Índice de Gini;2017;33.5
0801907120 Barcelona sección 07120;Índice de Gini;2016;33.5
0801907120 Barcelona sección 07120;Índice de Gini;2015;33.9
0801907120 Barcelona sección 07120;Distribución de la renta P80/P20;2017;2.7
0801907120 Barcelona sección 07120;Distribución de la renta P80/P20;2016;3.0
0801907120 Barcelona sección 07120;Distribución de la renta P80/P20;2015;2.9
0801907014 Barcelona sección 07014;Índice de Gini;2017;32.5
0801907014 Barcelona sección 07014;Índice de Gini;2016;32.4
0801907014 Barcelona sección 07014;Índice de Gini;2015;31.6
0801907014 Barcelona sección 07014;Distribución de la renta P80/P20;2017;2.9
0801907014 Barcelona sección 07014;Distribución de la renta P80/P20;2016;2.9
0801907014 Barcelona sección 07014;Distribución de la renta P80/P20;2015;2.8
0801907029 Barcelona sección 07029;Índice de Gini;2017;35.4
0801907029 Barcelona sección 07029;Índice de Gini;2016;36.5
0801907029 Barcelona sección 07029;Índice de Gini;2015;36.6
0801907029 Barcelona sección 07029;Distribución de la renta P80/P20;2017;3.1
0801907029 Barcelona sección 07029;Distribución de la renta P80/P20;2016;3.0
0801907029 Barcelona sección 07029;Distribución de la renta P80/P20;2015;3.2
0801907035 Barcelona sección 07035;Índice de Gini;2017;31.4
0801907035 Barcelona sección 07035;Índice de Gini;2016;31.9
0801907035 Barcelona sección 07035;Índice de Gini;2015;31.8
0801907035 Barcelona sección 07035;Distribución de la renta P80/P20;2017;2.7
0801907035 Barcelona sección 07035;Distribución de la renta P80/P20;2016;2.8
0801907035 Barcelona sección 07035;Distribución de la renta P80/P20;2015;2.9
0801907045 Barcelona sección 07045;Índice de Gini;2017;31.8
0801907045 Barcelona sección 07045;Índice de Gini;2016;32.0
0801907045 Barcelona sección 07045;Índice de Gini;2015;32.0
0801907045 Barcelona sección 07045;Distribución de la renta P80/P20;2017;2.9
0801907045 Barcelona sección 07045;Distribución de la renta P80/P20;2016;2.9
0801907045 Barcelona sección 07045;Distribución de la renta P80/P20;2015;3.0
0801907053 Barcelona sección 07053;Índice de Gini;2017;28.0
0801907053 Barcelona sección 07053;Índice de Gini;2016;28.0
0801907053 Barcelona sección 07053;Índice de Gini;2015;29.1
0801907053 Barcelona sección 07053;Distribución de la renta P80/P20;2017;2.3
0801907053 Barcelona sección 07053;Distribución de la renta P80/P20;2016;2.3
0801907053 Barcelona sección 07053;Distribución de la renta P80/P20;2015;2.4
0801907059 Barcelona sección 07059;Índice de Gini;2017;30.8
0801907059 Barcelona sección 07059;Índice de Gini;2016;30.6
0801907059 Barcelona sección 07059;Índice de Gini;2015;30.1
0801907059 Barcelona sección 07059;Distribución de la renta P80/P20;2017;2.6
0801907059 Barcelona sección 07059;Distribución de la renta P80/P20;2016;2.5
0801907059 Barcelona sección 07059;Distribución de la renta P80/P20;2015;2.7
0801907062 Barcelona sección 07062;Índice de Gini;2017;29.0
0801907062 Barcelona sección 07062;Índice de Gini;2016;30.3
0801907062 Barcelona sección 07062;Índice de Gini;2015;29.5
0801907062 Barcelona sección 07062;Distribución de la renta P80/P20;2017;2.7
0801907062 Barcelona sección 07062;Distribución de la renta P80/P20;2016;2.7
0801907062 Barcelona sección 07062;Distribución de la renta P80/P20;2015;2.9
0801907076 Barcelona sección 07076;Índice de Gini;2017;30.0
0801907076 Barcelona sección 07076;Índice de Gini;2016;30.1
0801907076 Barcelona sección 07076;Índice de Gini;2015;27.5
0801907076 Barcelona sección 07076;Distribución de la renta P80/P20;2017;2.7
0801907076 Barcelona sección 07076;Distribución de la renta P80/P20;2016;2.4
0801907076 Barcelona sección 07076;Distribución de la renta P80/P20;2015;2.4
0801907080 Barcelona sección 07080;Índice de Gini;2017;29.5
0801907080 Barcelona sección 07080;Índice de Gini;2016;29.4
0801907080 Barcelona sección 07080;Índice de Gini;2015;29.2
0801907080 Barcelona sección 07080;Distribución de la renta P80/P20;2017;2.6
0801907080 Barcelona sección 07080;Distribución de la renta P80/P20;2016;2.6
0801907080 Barcelona sección 07080;Distribución de la renta P80/P20;2015;2.7
0801907082 Barcelona sección 07082;Índice de Gini;2017;30.6
0801907082 Barcelona sección 07082;Índice de Gini;2016;30.5
0801907082 Barcelona sección 07082;Índice de Gini;2015;30.8
0801907082 Barcelona sección 07082;Distribución de la renta P80/P20;2017;2.7
0801907082 Barcelona sección 07082;Distribución de la renta P80/P20;2016;2.5
0801907082 Barcelona sección 07082;Distribución de la renta P80/P20;2015;2.6
0801907090 Barcelona sección 07090;Índice de Gini;2017;31.8
0801907090 Barcelona sección 07090;Índice de Gini;2016;31.1
0801907090 Barcelona sección 07090;Índice de Gini;2015;32.0
0801907090 Barcelona sección 07090;Distribución de la renta P80/P20;2017;2.7
0801907090 Barcelona sección 07090;Distribución de la renta P80/P20;2016;2.6
0801907090 Barcelona sección 07090;Distribución de la renta P80/P20;2015;2.6
0801907091 Barcelona sección 07091;Índice de Gini;2017;29.2
0801907091 Barcelona sección 07091;Índice de Gini;2016;30.7
0801907091 Barcelona sección 07091;Índice de Gini;2015;32.8
0801907091 Barcelona sección 07091;Distribución de la renta P80/P20;2017;2.6
0801907091 Barcelona sección 07091;Distribución de la renta P80/P20;2016;2.9
0801907091 Barcelona sección 07091;Distribución de la renta P80/P20;2015;2.6
0801907094 Barcelona sección 07094;Índice de Gini;2017;27.0
0801907094 Barcelona sección 07094;Índice de Gini;2016;29.0
0801907094 Barcelona sección 07094;Índice de Gini;2015;26.7
0801907094 Barcelona sección 07094;Distribución de la renta P80/P20;2017;2.3
0801907094 Barcelona sección 07094;Distribución de la renta P80/P20;2016;2.4
0801907094 Barcelona sección 07094;Distribución de la renta P80/P20;2015;2.3
0801907098 Barcelona sección 07098;Índice de Gini;2017;29.0
0801907098 Barcelona sección 07098;Índice de Gini;2016;29.7
0801907098 Barcelona sección 07098;Índice de Gini;2015;29.3
0801907098 Barcelona sección 07098;Distribución de la renta P80/P20;2017;2.3
0801907098 Barcelona sección 07098;Distribución de la renta P80/P20;2016;2.4
0801907098 Barcelona sección 07098;Distribución de la renta P80/P20;2015;2.4
0801907118 Barcelona sección 07118;Índice de Gini;2017;31.1
0801907118 Barcelona sección 07118;Índice de Gini;2016;30.3
0801907118 Barcelona sección 07118;Índice de Gini;2015;29.4
0801907118 Barcelona sección 07118;Distribución de la renta P80/P20;2017;2.8
0801907118 Barcelona sección 07118;Distribución de la renta P80/P20;2016;2.6
0801907118 Barcelona sección 07118;Distribución de la renta P80/P20;2015;2.7
0801907003 Barcelona sección 07003;Índice de Gini;2017;30.7
0801907003 Barcelona sección 07003;Índice de Gini;2016;32.3
0801907003 Barcelona sección 07003;Índice de Gini;2015;31.0
0801907003 Barcelona sección 07003;Distribución de la renta P80/P20;2017;2.8
0801907003 Barcelona sección 07003;Distribución de la renta P80/P20;2016;2.7
0801907003 Barcelona sección 07003;Distribución de la renta P80/P20;2015;2.9
0801907004 Barcelona sección 07004;Índice de Gini;2017;31.9
0801907004 Barcelona sección 07004;Índice de Gini;2016;32.7
0801907004 Barcelona sección 07004;Índice de Gini;2015;34.0
0801907004 Barcelona sección 07004;Distribución de la renta P80/P20;2017;2.7
0801907004 Barcelona sección 07004;Distribución de la renta P80/P20;2016;2.8
0801907004 Barcelona sección 07004;Distribución de la renta P80/P20;2015;3.1
0801907007 Barcelona sección 07007;Índice de Gini;2017;30.9
